epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
45,808.001,1.29984,1.12963,0.00812,0.68128,0.64826,0.66876,0.50065,0.90966,1.68209,0.00683,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,1600.67,1.30684,1.13991,0.00819,0.67525,0.65382,0.67429,0.50307,0.9092,1.67313,0.00682,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,2396.06,1.30643,1.14034,0.00829,0.6832,0.6551,0.67755,0.50604,0.90731,1.6604,0.00681,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,3190.25,1.29376,1.11834,0.00811,0.70241,0.65017,0.68059,0.50801,0.90316,1.66006,0.00668,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,3985.09,1.29738,1.12684,0.00815,0.67819,0.66473,0.68083,0.5102,0.90104,1.66381,0.00664,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,4780.28,1.29721,1.1233,0.00809,0.6749,0.66776,0.6811,0.51045,0.89918,1.66275,0.00667,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,5574.92,1.28587,1.10976,0.00806,0.67675,0.67622,0.68242,0.51142,0.89867,1.66575,0.00667,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,6369.43,1.28613,1.11002,0.00806,0.66551,0.67983,0.68117,0.50895,0.89835,1.67943,0.00667,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,7163.81,1.28499,1.10151,0.00801,0.67269,0.67877,0.68536,0.51132,0.89827,1.67785,0.00666,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,7958.73,1.27966,1.10184,0.00801,0.68112,0.67172,0.68645,0.51217,0.89696,1.67444,0.00664,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,8753.69,1.2772,1.08751,0.00799,0.67616,0.67419,0.68265,0.5106,0.89746,1.67822,0.00665,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,9548.24,1.27309,1.07922,0.00789,0.67545,0.67419,0.68298,0.51077,0.89795,1.68121,0.00665,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,10343.5,1.26762,1.07219,0.00787,0.68811,0.66887,0.68412,0.51168,0.89848,1.68609,0.00664,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,11145.3,1.2629,1.06148,0.00785,0.68627,0.66827,0.68197,0.51062,0.89959,1.69154,0.00667,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,11945.5,1.26332,1.06079,0.00781,0.68304,0.67122,0.6797,0.50972,0.89925,1.68979,0.00667,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
